PERFIS;wagsantisteban;danilogentili;Leah_Sandy;rafinhabastos;huckluciano;marcelotas;programapanico;rosana;kibeloco;melhoresfrases;;;;;;;;;;;;;
10;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT@DaniloGentili Sãoo Bernardo tem primeira suspeita de morte por h1n1.Que azar o nosso que justo nessa época o presidente nãoo para em casa;"@Leah_Sandy Dica para nãoo pegar a Gripe ""suina"" façam um saquinho de gaze com pedrinhas de canfora e pindurem no pescoço..foi o que";"@rafinhabastos a @xuxameneghel amará o novo amigo (""suíno"" da gripe suína) além da dengue, da praga e da marlene!";@huckluciano lave bem suas mãoos, tome cuidado comigo !;RT: @marcelotas@liarizzolli Daqui a pouco será 12:34:56 do 07/08/09, final do mundo, H1N1, sem aulas e web lenta....;@programapanico http://twitpic.com/ajpbk - caraca....ta parecendo a festa do H1N1.... Pobre Emilio e Bola...;@rosana Cuidado... Gripe H1N1? Gripe Suína!? Gripe InfluenzaA?! Tantos nomes... rs... Bom dia!!;@kibeloco Tá achando que a gripe suína surgiu do Senado...;Essa foi boa !! no @melhoresfrasesSou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína.;;;;;;;;;;;;;
11;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Sugiro Gripe suína (influenza A (H1N1) ou mimos para conseguir seguidores aqui no twitter!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! *Q coisa!;"@rafinhabastos ""Lavar as mãoo com álcool previne a gripe suína"" entãoo sente na mesa de um bar, derrube uma grade que você nãoo pega nunca.";@huckluciano por favor Luciano ajude a divulgar a tabela comparativa dos sintomas da gripe comum e da H1N1 http://vai.la/9PH;@marcelotas Eu vão­ uma matéria muito interessante sobre o vírus H1N1. As autoridades estãoo escondendo informações? http://migre.me/4puO;@programapanico http://twitpic.com/a65lw - Pow se a Sabrina tivesse o H1N1 ainda seria 100% comestão­vel, podes crer.;"@rosana Saúde....cuidado com a H1N1 - que ""nao iria chegar aqui"" e já temos mais de 500 casos - risos";@kibeloco dia dos pais foi adiado por causa da gripe suina!;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
12;@wagsantisteban: 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Gripe A H1N1...;@Leah_Sandy 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos Assista esse vão­deo sobre a verdade da gripe suína: http://bit.ly/iUZwy;@huckluciano é verdade que o André Marques pegou o H1N1(gripe suína)?;Dúvidas sobre o vírus H1N1? Nãoo envie e-mails para contato@saude.gov.br (User unknown ### ENDERECO INEXISTENTE) Lindo hein! @marcelotas;@programapanico Flaram q vc tava com H1N1 osaoskaoska ;@rosana_pereira Até o momento o Influenza A (H1N1) nãoo se mostrou mais agressivo ou letal que a gripe comum.;â€œPlayboyâ€ nega negociação com ex-BBB Naiá. E o governo preocupado com gripe suína. Francamente, viu? by @kibeloco;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Morador de Sãoo Paulo;;;;;;;;;;;;;
13;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili e o resultado da H1N1,HEIN? rsrrsrsrs. ultimamente esse tb tem sido muito importante,kkkkkkkkkkkk;@Leah_Sandy seja bem vinda&gt;@rafinhabastos o que é isto Rafinha??? Até a Hebe com gripe suína canta melhor, mas tenho que admitir que vc canta melhor que o Justus;@huckluciano Bom que estãoo bem de saúde, sem a gripe h1n1;@ViniciusBruno Genial essa! Nãoo é H1N1 mesmo! Foi sério mas já passou! E como diria @marcelotas  La Lucha Continua!;@programapanico H1N1 .. só ..;"#H1N1 está sim em circulação no Brasil (via @rosana). E eu levanto de novo a plaquinha ""Eu Já Sabia"" #Anvisa #fail";"via @kibeloco â€œPlayboyâ€ nega negociação com ex-BBB Naiá""  E vocês épreocupados com gripe suína. Francamente, viu?";RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
14;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Passa o Anti-Virus, vai ver pc foi infectado com: Influenza A virus subtype H1N1;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;@marcoluque RT: @Cemianko_ @rafinhabastos é tãoo narigudo que ele pegou gripe suína quando o virus ainda estava no México!;@christianpior @huckluciano @alexandresena O André está realmente com a gripe H1N1. Está afastado e passa bem. A @angelicasky tem TW sim! ;"@marcelotas Uol: "" Gripe comum pode dar lugar ao H1N1, diz saúde"".... nossa quanta gentileza!!!!!!";@programapanico boleta essas bandinhas novas estao pior que a H1N1, se espalhando em toda esquina!! meu deus...;@rosana @otaviomesquita Cantada :Você é o álcool em gel da minha gripe suína.;@kibeloco @DaniloGentili @rafinhabastos @lulusuperpop http://twitpic.com/c7y0d - REMéDIO PARA GRIPE SUINA!;RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
15;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili INFLUENZA A H1N1 virtual... agora guenta rapá. quem mandou brincar com coisa séria. ahahahahahha;RT @Leah_Sandy RT @wagsantisteban 4mil pessoas têm gripe suína e tdo mundo quer usar máscaras.33MILHõeS têm AIDS e ninguém q usar camisinha!;@DaniloGentili @rafinhabastos Acho que estou com a gripe suína sempre que eu espirro eu peido.;a burrice de  @hucklucianom comoveu..ele nem sabia como se pegava H1N1..acahva q fosse por mosquitos..foi la na Ar ver de perto e ....;@marcelotas As pessoas estãoo morrendo no Brasil pela H1N1 porque nãoo estãoo sendo medicadas com o antiviral TAMIFLU http://bit.ly/Y7CgL;@programapanico Programa do Panico previne-se contra gripe suina...olha o alcool em gel em cima da mesa :);@rosana já estamos ao vivo no www.humanizabrasil.org.br preparando para bate papo sobre gripe suína. Entre no blog e participe.;http://kibeloco.com.br/kibeloco/2009/07/30/medo/ - Tsc tsc tsc e a gente preocupado com a gripe suína...;"RT - @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína."" Marcelo Taboada";;;;;;;;;;;;;
16;FODA ! RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili na certa pegaram vírus: h1n1.;BOA!! RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;@rafinhabastos Gaucho Disse pra Paulista: Você é O ãolcool em Gel da Minha Gripe Suina :O kkkkkkkkkkkkkkkkkkkkkk;@huckluciano Com essa Tv Poderei ver com Qualidade o Puerto Madero, as Praças do Palerno o Estádio do Boca Jrs. e ainda ficar Longe do H1N1.;será q o h1n1 chegou ao cqc????será?@marcelotas;@programapanico To com grão­pe Suína!!!!;@rosana @showdavida A gente têm medo d sair d casa pela violência, gripe suína... Será q M.Jackson estava certo: Temos q viver em uma bolha?;@kibeloco Como saber se está com a gripe suina? #gripesuina http://bit.ly/Dxvd1;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. KK;;;;;;;;;;;;;
17;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! #fato;@danilogentili Imagino um vírus H1N1 viajando dentro do corpo de um obeso. Ele deve pagar pedágio nas artérias.;4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!RT @Leah_Sandy;@rafinhabastos  vc tem ar em abundância pense nisso... Mais se vc pegar gripe suina e espirrar vai contagiar o estado Sp todo.. Cuidado!!;@huckluciano Com essa Tv Poderei ver com Qualidade o Puerto Madero, as Praças do Palerno o Estádio do Boca Jrs. e ainda ficar Longe do H1N1.;@marcelotas morre o primeiro brazuca vítima da A H1N1. é gaúcho. No Rio sãoo 60 casos, os notificados.;@programapanico Piada: o que o porquinho disse para a porquinha?? R: eu posso até ter gripe suína mas a linguiça é sadia!! hahaha;é @rosana, o vírus do twitter é bem mais forte do que o da gripe suína e o pessoal nãoo se preocupa. esperemos o #apagaosocial pra comprovar.;"@kibeloco ""Gripe suina"" no mussumgrapher fica ""gripis suinis"" rsrs";"RT@melhoresfrases ""Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP""";;;;;;;;;;;;;
18;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"Que susto com interrupção do Ministério da Saúde. Pensei que iam falar do André O.o Ainda bem que o @danilogentili está ""bem"" #H1N1";"@Leah_Sandy ""4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!"" Boa Sandy!!!";@rafinhabastos Cuidado com a gripe suína em Porto Alegre. Mesmo estando em Sãoo Paulo...;@huckluciano Com essa Tv Poderei ver com Qualidade o Puerto Madero, as Praças do Palerno o Estádio do Boca Jrs. e ainda ficar Longe do H1N1.;@marcelotas A media dos que contraão­ram H1N1 é 12 anos, a média das pessoas internadas é de 20 anos, e a idade média dos mortos é de 37 anos.;- Má notícia: Um importante senador pegou gripe suína! - Boa notícia: Será preciso fechar o senado! @programapanico;@rosana viu é verdade q o virus da gripe suina  morre com o calor?;A Fazenda. Presente de grego. Dado Dolabela ganhou uma viagem para bariloche,para trazer mais casos de gripe suína. @kibeloco;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
19;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Os seguranças do Sarney injetaram o virus H1N1 em você, meu bem?!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos: qual seria entãoo o cheiro da Argentina? só cuidado com a gripe suína... rs;@huckluciano Temporãoo diz que nãoo terá Tamiflu para os jovens com a gripe H1N1. A CDC diz que os casos mais graves sãoo em jovens.;"RT @marcelotas ao vivo ""H1N1 nãoo é uma pandemia, porque veio do porco e nãoo do panda..."" Faltou a musiquinha da Praça: ""o mesmo banco lá lá""";@programapanico Pq bebado nao transmite gripe suina? Pq sua saliva eh alcool gel!!;"@rosana  foot-ball com gripe suína...faltou o ""porco""!!!?";@kibeloco vc sabe porque lá na Argentina tem um Surto Tãoo grande de Gripe Suina?;RT @melhoresfrases:Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
20;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili com gripe suína/A/h1n1/whatever? Tomara que nãoo. Será que  Sarney também pegou? é Danilo há males que vem pra bens! #meangirl;@Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;http://twitpic.com/edg6x - Essa moda nãoo pode pegar... xá GRIPE SUINA !!! @oceara @eudesoliveira @christianpior @rafinhabastos;@huckluciano tá lá. Seguindo. Vamos ver se minha sorte muda. Iniciando fds com principio de gripe. Nãoo sendo a suína, tá bom #h1n1;@marcelotas a gripe sovina, devido ao seu alastramento descomunal em Brasilia, agora se chama avareza A(H1N1);"@programapanico.O que uma gripe suina fala pra outra? ""OOOiiinnntchim""Você tem um sucinho de laranja ai?";Interessante. O público em Cascavel, no jogo do Santos, está usando máscaras (gripe suína). A TV deu um close na galera. (via @rosana);"@kibeloco ""Padre tira pia com água benta da igreja, com medo de contaminação da gripe suína""...uai, por onde andará a fé ?";Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP(via @melhoresfrases);;;;;;;;;;;;;
21;@ErickPrates 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33MILHõeS têm AIDS e ninguém quer usar camisinha!(@wagsantisteban);"Espero que o @danilogentili diga ""Rá! Pegadinha do Mallandro!"" e que nãoo esteja com a H1N1 coisa nenhuma.";RT@Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos falou tudo! '' sono é p/ os fracos'' e que se exploda a gripe suína ! com + de 50% dos jovens voltando as suas rotinas hahaha;@huckluciano  eu temo aqui pelo sul do Brasil. H1N1 já está na nossa porta, e nem vai  bater pra entrar de vez.;@marcelotas Com toda essa beijação na careca, é bom tomar cuidado com a Gripe Suina!!;@programapanico IPHONE A gripe suína chegou a Brasão­lia e sofreu mutações.Os novos casos da doença só surgem lá entre terça e quinta-feira.;GRIPE A - RT @rosana: O público em Cascavel, no jogo do Santos, está usando máscaras (gripe suína). A TV deu um close na galera.;RT @kibeloco: é mais seguro pegar gripe suína na Argentina do que ser travesti do Ronaldo. http://migre.me/3AmJ;RT@melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
22;RT  @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Espero que nãoo seja a droga do H1N1;RT: @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos tãoo contagiante quanto a gripe suína.;@huckluciano Ow Luciano, nãoo me fala isso! Raquete mata-mosquito contra o H1N1? Nãoo é dengue, nãoo! Heheheheh :D@huckluciano;@marcelotas ei passa no topfive esta ai http://bit.ly/SSmg9;@programapanico Brasil é lão­der em morte por gripe suína e o Palmeiras é lão­der do Brasileirãoo... Alguma dúvida?;@rosanakarla.émsm essa doida nunk mais deu um sinal de vida mais axo q a gripe suina fikou com medo dela..huashuashuas;@kibeloco erasmo parece o carlos minc depois da gripe suína;RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
